Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
11/2016 - 1/2017,14.4,103.2,262.3,77,415.2,41.1,338.9,285.8,299.3,17.1,132.7,184.3,62.8,153.2,365.8,112.1,214.2,195.7,57.5,443.9,26.7,3803.2
12/2016 - 2/2017,15.5,102.2,260.8,75.5,410,40.5,341.2,286.4,302.3,17.8,133.6,186.9,66.1,154.3,366.6,115,216.5,197.4,56.9,438.6,25.9,3810.2
1/2017 - 3/2017,15.9,101.1,259.6,75.5,408.9,41.1,340.8,289.5,301.5,17.8,135.5,188.8,65.2,156.8,366.4,115.1,215.1,198.2,57,436.6,22.7,3808.9
2/2017 - 4/2017,14.4,100.6,260,77.5,408,40.4,340.5,288.9,300.3,18,134.2,186,66.1,156.3,365.6,114.6,213.2,198.8,57.5,438.8,22.9,3802.6
3/2017 - 5/2017,14.1,100,261.9,78.4,408.2,39.9,340.6,290.6,296.8,16.8,134.2,186.4,66.3,157.7,364,113.1,213.3,199.1,56.8,444.7,21.9,3805
4/2017 - 6/2017,13.5,97.9,263,79.5,410.5,40.2,338,294.6,300.2,17.7,134.7,189,66.6,156.3,363.3,112.2,214.8,199.5,56.2,443.5,20.5,3811.6
5/2017 - 7/2017,12.1,100.7,267.2,80.7,407.6,40.1,336,295,302.3,19.2,131.7,190.8,66.7,159.3,364.6,114.1,218,201.1,57.6,438.7,19.2,3822.9
6/2017 - 8/2017,12,99,267,79.8,406,40.6,337.2,295,304.2,18.5,130.5,193.9,66.8,158.3,365.4,115.2,218.8,203.6,58.4,440,19.1,3829.4
7/2017 - 9/2017,12.4,100,267.1,78.8,408.2,38.9,338.3,292.4,300.9,19.1,130.2,194.5,68,157.4,366,112.6,216.5,202.9,58.8,441.3,21.3,3825.8
8/2017 - 10/2017,13.1,95.9,266.6,80,409.2,38.6,336,292.4,303.9,20.4,134.3,196.4,68.3,159.1,365.3,111.8,215.7,203.1,58,442.8,21.1,3832
9/2017 - 11/2017,12.6,94.6,267.3,81.4,413.1,38,336.4,291.9,302.8,21.3,135.2,195.7,69.3,159.4,362.4,112.5,218.1,204.2,59,441.4,20.1,3836.8
10/2017 - 12/2017,11.6,96.3,265.1,81,415.1,38.5,337.5,293.7,300.8,20.4,135.8,195.6,70.4,160.6,361.4,114.9,220.3,206.5,60.3,445,19.8,3850.6
11/2017 - 1/2018,10.1,96.5,267.3,80.6,416,37.2,339.9,296.2,304.5,18.1,136.4,194.6,69.2,160.2,362.9,115.6,222.2,208.1,59.2,452,21.3,3868
12/2017 - 2/2018,10.3,95.9,268,81.6,415.4,36.5,342.1,299.6,304.4,18.1,136.3,195.1,68.3,158.6,363.4,116.2,222.8,208.8,59.3,454.4,22.5,3877.6
1/2018 - 3/2018,10.9,94.3,270,83.1,414.6,37.1,343.1,296.2,303.5,17.4,134.1,196.2,68.6,158.8,365.4,116.9,221.2,208.6,58,455.2,23.1,3876.4
2/2018 - 4/2018,11.4,92.7,268.1,83.5,412.5,37,342.7,294.2,301.2,18.1,134.9,198.4,68.3,157.8,363.6,117.9,222,208.3,58.1,458.7,21,3870.6
3/2018 - 5/2018,10.8,91.9,269.2,83.8,413.9,37.3,339.2,294.1,300.2,17.5,133.6,197.1,68.1,157.6,362.6,116,223,209.9,57.4,460.9,21.1,3865.4
4/2018 - 6/2018,10.3,92.1,269.6,83.7,413.7,38,336.8,295.8,300.7,17.8,132.4,197.9,67.5,158.2,364.7,114.9,224.3,213.5,56.5,460.9,21.8,3871
5/2018 - 7/2018,11.5,92.5,269.4,83,412.3,39.1,336.1,297.4,299.1,17.8,132.7,200.8,67.1,159.6,365.9,113.2,225.5,213.8,58.6,456.7,24.7,3876.7
6/2018 - 8/2018,11.3,92.9,270.7,83.4,414.1,37.2,333.9,295.7,303.1,18.3,134.2,202.2,67.3,162.8,367.7,115,224.4,214,57.6,458.3,24.3,3888.4
7/2018 - 9/2018,10.7,89.8,267.6,82.6,410.1,37.4,334.2,292.2,300.3,18.7,136.5,201.2,67.1,163.3,369,116.8,226.8,215.9,57.9,459.8,24.1,3882
8/2018 - 10/2018,8.7,92.4,270.4,81,406.4,36.6,332.4,293.4,298.8,18.4,134.1,203.8,68.6,162.2,365.5,115.7,230,217.5,60.2,462,23.1,3881.2
9/2018 - 11/2018,8.5,92.8,271.6,80.7,401.4,35.8,333.6,293.9,295.9,19.4,134,201.9,68.2,160.2,367.9,114,228.9,220.1,59.7,462.4,25.7,3876.7
10/2018 - 12/2018,10.5,93.8,273.1,79.6,393.2,33.1,328.9,294.4,301.3,20,132.7,202.9,69.6,159.8,370.8,113.5,232.3,218.9,60.8,468.3,27,3884.4
11/2018 - 1/2019,10.2,92.2,274.8,77.6,385.4,36,327.1,296.8,302.2,19.5,133.4,203,69.5,160.1,374.6,116.1,235.8,220.5,58.6,464.4,27.1,3884.9
12/2018 - 2/2019,9.5,94.7,267.7,75.6,377.1,37,328,301.3,300.5,19.1,133.8,201.8,69.1,161,379,117,236.9,221.8,59.5,463.4,27.2,3881
1/2019 - 3/2019,8.6,97.6,261.5,75.3,368.8,35.5,327.9,303.5,299.1,18.3,134.8,202.5,70.4,162.1,386.8,118.1,234.1,219.9,58.3,465.9,26.3,3875.3
2/2019 - 4/2019,10.3,97.7,259.2,71.8,363.7,33,328,303.4,298.3,18.3,137,203.3,70.9,159.8,390.2,120,234.9,219.4,60.1,471.5,26.8,3877.7
3/2019 - 5/2019,10,99.7,258.7,72.9,362.3,31.3,324.4,304.8,294.8,17.8,136.2,204.4,72,161.4,390,121.3,235.3,218,59.3,478,26.4,3878.9
4/2019 - 6/2019,8.9,99.2,263.2,74.6,362.8,31,325.3,301.6,295.6,18.1,133.9,206,72.2,161.9,386.8,120.4,236.7,220,59.6,474.8,26.9,3879.7
5/2019 - 7/2019,8.4,96.6,260.4,76.1,360.9,31.2,316.8,295.1,298.6,18.7,133.5,205.2,73,164.3,394.4,121.3,236.3,223.1,60.9,473.2,26.9,3875
6/2019 - 8/2019,9.5,93.9,264,77.1,359.8,29.5,311.2,289.3,299.6,19.3,135.8,206.4,73.8,163.3,394.6,122,234.3,226,61.9,476.7,25.2,3873.1
7/2019 - 9/2019,8.1,91.8,267.3,75.5,357.4,26.5,309.6,281.3,299.3,20.1,137.2,209.5,74.1,163.7,401.3,122.8,231.8,226.8,60.2,479.6,25.2,3869.2
8/2019 - 10/2019,8.3,93.7,264.9,76.2,363.1,26.5,302.3,277.4,298.3,20.1,135.3,208.5,74.6,164.9,402.6,120.6,230,227.1,58.4,485.5,24.6,3862.7
9/2019 - 11/2019,8.6,94.2,265.3,75.2,356.5,25.8,296.3,274.5,300.6,18.7,135.7,209.9,74.1,164,404.7,120.4,234,229.8,58.1,484.3,24.7,3855.3
10/2019 - 12/2019,8.6,93.3,262.2,72,350.8,26.1,294.2,273.8,300.6,19.2,137.2,216.1,73.5,161.6,403.2,121.2,235.6,231.1,58.7,483.8,24.9,3847.7
11/2019 - 1/2020,8.9,92.3,259.1,72.9,341.9,24.6,297.4,273.3,298.1,19.5,136.5,219.8,73.6,158,407.7,120.7,233.9,234.8,58.5,481.3,23.7,3836.4
